material_diff,white_material,black_material,white_pawns,black_pawns,white_knights,black_knights,white_bishops,black_bishops,white_rooks,black_rooks,white_queens,black_queens,white_bishop_pair,black_bishop_pair,white_developed,black_developed,white_castled,black_castled,white_castled_on_move,black_castled_on_move,pawn_moves_white,pawn_moves_black,piece_moves_white,piece_moves_black,captures_white,captures_black,checks_white,checks_black,center_control_white,center_control_black,ext_center_white,ext_center_black,white_mobility,black_mobility,white_attacked_squares,black_attacked_squares,white_doubled_pawns,black_doubled_pawns,white_isolated_pawns,black_isolated_pawns,white_passed_pawns,black_passed_pawns,white_king_safety,black_king_safety,white_king_exposure,black_king_exposure,eco_category,result
-4,12,16,4,5,0,1,1,1,1,1,0,0,0,0,4,4,1,0,15,0,7,5,18,20,7,9,2,1,3,2,8,10,25,30,28,33,0,0,2,1,0,0,1,1,1,3,2,0-1
1,31,30,6,5,1,2,1,0,2,2,1,1,0,0,3,4,1,1,13,6,8,13,17,12,5,4,0,4,3,4,11,13,3,45,36,41,0,0,2,1,1,0,4,3,3,0,3,0-1
-4,18,22,5,6,1,2,0,0,2,2,0,0,0,0,4,4,1,1,15,22,10,7,15,18,5,7,1,2,2,1,7,10,30,36,29,31,0,0,1,1,0,1,2,4,0,0,0,1-0
0,32,32,7,7,0,1,2,1,2,2,1,1,1,0,4,4,1,1,10,10,7,8,18,17,3,3,1,1,4,2,12,10,41,37,36,37,0,0,0,0,0,0,3,3,1,1,2,0-1
10,23,13,4,5,0,0,0,1,2,1,1,0,0,0,4,4,1,1,15,7,6,8,19,17,8,8,3,0,3,2,12,7,50,20,37,24,0,0,1,1,0,0,1,1,1,3,2,1-0
-12,16,28,3,6,1,2,0,2,2,2,0,0,0,1,4,4,0,0,0,0,3,2,22,23,3,9,3,7,2,2,7,11,2,53,23,42,0,0,1,0,0,2,2,2,4,0,2,0-1
6,27,21,8,4,0,0,0,1,2,1,1,1,0,0,4,4,1,1,8,16,5,5,20,20,8,4,1,0,3,2,11,6,39,32,38,34,2,0,0,0,1,0,4,2,3,1,3,1-0
-4,27,31,5,6,1,1,0,1,2,2,1,1,0,0,4,4,1,1,15,14,8,9,17,16,4,6,0,0,2,4,10,15,33,37,38,39,0,2,2,4,0,0,3,3,1,3,2,1-0
-15,17,32,4,4,1,1,0,2,2,2,0,1,0,1,4,4,1,1,11,17,5,8,20,17,5,8,3,0,3,3,10,15,26,52,33,42,0,0,0,2,0,1,2,1,3,2,2,1-0
16,29,13,7,5,1,1,0,0,2,1,1,0,0,0,3,4,1,0,24,0,9,6,16,19,8,4,6,0,3,1,13,5,42,8,40,19,0,0,0,0,0,0,4,2,0,3,3,1-0
3,27,24,8,7,0,1,0,0,2,1,1,1,0,0,4,4,1,0,14,0,8,6,17,19,5,4,3,0,2,2,8,10,22,33,28,34,0,0,0,1,0,0,2,5,1,0,3,1-0
11,18,7,5,4,0,0,1,1,2,0,0,0,0,0,4,3,1,1,14,14,8,9,17,16,10,7,2,0,3,0,8,3,34,15,32,15,2,0,2,0,0,0,3,2,0,0,2,1-0
-17,8,25,5,5,0,1,1,1,0,1,0,1,0,0,4,4,1,1,5,9,7,8,18,17,6,9,0,5,1,3,5,14,4,49,21,41,0,0,0,2,0,0,3,1,2,0,0,0-1
-4,12,16,4,5,1,2,0,0,1,1,0,0,0,0,4,4,0,1,0,9,5,5,20,20,7,9,0,5,2,3,7,8,3,32,27,30,0,0,4,0,0,0,2,3,4,0,2,0-1
1,30,29,5,4,2,0,0,2,2,2,1,1,0,1,4,4,1,0,7,0,7,6,18,19,6,5,2,0,4,0,10,7,40,35,40,31,0,0,1,2,1,1,3,1,2,2,3,1-0
-8,17,25,3,6,0,0,0,0,1,2,1,1,0,0,4,4,1,0,15,0,9,8,16,17,6,10,1,3,1,4,5,13,22,40,23,40,0,0,0,0,0,2,2,3,1,0,3,0-1
